gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Sh3bgrl3,0.605,1.44,0.18,0.31,0.13,0.23
Uba52,0.605,1.93,0.06,0.20,0.03,0.12
Anxa10,0.605,6.69,0.07,0.10,0.01,0.04
Tcp1,0.605,1.40,0.12,0.29,0.08,0.23
Mrps18a,0.605,1.70,0.05,0.15,0.03,0.07
Dnajc5,0.605,1.65,0.09,0.19,0.06,0.15
Klf10,0.604,2.00,0.04,0.12,0.02,0.06
Lgmn,0.604,3.27,0.07,0.12,0.02,0.06
Bloc1s2,0.604,3.88,0.05,0.12,0.01,0.04
Chmp2b,0.604,2.33,0.06,0.16,0.02,0.07
Cisd2,0.604,1.75,0.04,0.14,0.03,0.09
Hist1h1c,0.604,1.82,0.06,0.16,0.03,0.09
Drap1,0.604,1.48,0.06,0.16,0.04,0.09
Atp6v1a,0.604,2.84,0.05,0.12,0.02,0.09
Lamtor5,0.604,2.54,0.07,0.13,0.03,0.08
Map1lc3b,0.603,1.75,0.13,0.27,0.07,0.18
Rpl22l1,0.603,1.78,0.40,0.45,0.23,0.38
Ube2v1,0.603,2.12,0.08,0.17,0.04,0.12
Skil,0.603,5.05,0.04,0.09,0.01,0.04
Smim8,0.603,4.75,0.03,0.09,0.01,0.04
Atox1,0.603,2.05,0.25,0.35,0.12,0.28
Ell2,0.603,1.94,0.07,0.17,0.04,0.11
Setd3,0.603,2.22,0.06,0.16,0.03,0.13
Prdx5,0.603,2.10,0.06,0.17,0.03,0.12
H2afj,0.602,1.33,0.12,0.28,0.09,0.17
Rnh1,0.602,1.72,0.15,0.28,0.09,0.19
Nsd2,0.602,1.88,0.10,0.23,0.05,0.18
Hras,0.602,1.34,0.06,0.16,0.05,0.08
Junb,0.602,1.76,0.51,0.52,0.29,0.37
Ptp4a2,0.602,1.47,0.20,0.41,0.14,0.33
Hspa1a,0.602,3.39,0.05,0.10,0.02,0.06
Ece1,0.602,3.44,0.05,0.10,0.02,0.06
Phpt1,0.602,3.80,0.04,0.10,0.01,0.06
Samd4,0.602,1.59,0.14,0.26,0.09,0.16
Imp3,0.602,2.54,0.05,0.13,0.02,0.09
Cops9,0.602,1.53,0.04,0.13,0.03,0.09
Cd82,0.602,2.34,0.04,0.10,0.02,0.08
Ankra2,0.602,2.51,0.05,0.13,0.02,0.06
Golga1,0.602,2.21,0.05,0.13,0.02,0.06
Aida,0.602,2.46,0.04,0.10,0.02,0.08
Ebna1bp2,0.602,3.64,0.05,0.13,0.01,0.06
Riok3,0.602,1.55,0.10,0.27,0.07,0.19
Rnf4,0.602,2.95,0.05,0.14,0.02,0.09
Krt8,0.602,2.04,1.61,0.78,0.79,0.67
Rala,0.602,1.89,0.10,0.22,0.05,0.21
Mt1,0.602,1.58,0.56,0.44,0.36,0.38
Tbc1d14,0.601,2.51,0.05,0.12,0.02,0.06
Echs1,0.601,4.99,0.03,0.12,0.01,0.03
Cpsf7,0.601,2.41,0.07,0.15,0.03,0.13
Ddx1,0.601,2.67,0.09,0.17,0.03,0.12
Pttg1ip,0.601,2.01,0.11,0.19,0.06,0.11
Gm2000,0.601,2.12,0.09,0.16,0.04,0.13
Slc39a4,0.601,3.76,0.03,0.10,0.01,0.05
Commd3,0.601,2.35,0.04,0.15,0.02,0.06
Ppid,0.601,1.62,0.04,0.14,0.03,0.07
Cox5b,0.600,1.39,0.14,0.29,0.10,0.24
Baiap2l1,0.600,2.00,0.24,0.33,0.12,0.29
Immp1l,0.600,2.17,0.05,0.15,0.02,0.09
Tbk1,0.599,2.75,0.05,0.14,0.02,0.09
Lif,0.599,55.97,0.08,0.09,0.00,0.01
Ralb,0.599,1.18,0.06,0.19,0.05,0.11
Gtf2h5,0.599,2.09,0.07,0.16,0.03,0.13
Cox6c,0.599,1.64,0.22,0.37,0.13,0.33
Rc3h1,0.599,1.70,0.13,0.29,0.08,0.27
Snx3,0.599,1.73,0.13,0.29,0.07,0.24
Ssbp4,0.599,1.88,0.04,0.10,0.02,0.06
Ipo9,0.599,3.28,0.04,0.10,0.01,0.06
Ier5,0.599,2.72,0.05,0.13,0.02,0.04
Usp8,0.599,1.81,0.08,0.19,0.05,0.16
Rbbp6,0.599,1.92,0.10,0.21,0.05,0.22
Ywhah,0.599,1.41,0.09,0.23,0.07,0.20
Nol7,0.598,1.69,0.07,0.19,0.04,0.15
Gch1,0.598,2.60,0.04,0.13,0.02,0.08
Ccdc25,0.598,1.54,0.14,0.28,0.09,0.21
Pcif1,0.598,3.35,0.05,0.13,0.01,0.07
Stk25,0.598,2.60,0.05,0.13,0.02,0.07
Slk,0.598,1.77,0.14,0.29,0.08,0.23
Camsap1,0.598,3.37,0.04,0.09,0.01,0.06
Pkig,0.597,2.46,0.04,0.13,0.02,0.09
Ech1,0.597,2.10,0.06,0.14,0.03,0.08
Hspb1,0.597,2.54,0.10,0.17,0.04,0.06
Comt,0.597,1.84,0.07,0.22,0.04,0.18
Ldha,0.597,1.80,0.10,0.20,0.06,0.12
Banf1,0.597,1.93,0.10,0.19,0.05,0.13
Tomm7,0.596,1.74,0.10,0.27,0.06,0.17
Exosc4,0.596,9.00,0.03,0.09,0.00,0.02
Nol8,0.596,8.69,0.03,0.09,0.00,0.02
Nfkbiz,0.596,1.71,0.28,0.28,0.16,0.32
Neat1,0.596,1.87,0.79,0.48,0.42,0.43
Cdk8,0.596,1.54,17.76,1.00,11.53,1.00
B2m,0.596,1.53,0.39,0.52,0.26,0.43
Ppp1r15b,0.596,1.70,0.03,0.10,0.01,0.08
Chd7,0.596,2.39,0.05,0.12,0.02,0.07
Rassf1,0.596,2.92,0.05,0.12,0.02,0.07
Nelfe,0.596,6.18,0.05,0.10,0.01,0.03
Mrps9,0.596,2.42,0.05,0.10,0.02,0.06
Mgp,0.596,2.62,0.08,0.10,0.03,0.06
Polr2i,0.596,7.31,0.06,0.10,0.01,0.03
Irak4,0.596,5.94,0.05,0.09,0.01,0.04
Stx3,0.596,3.42,0.05,0.10,0.01,0.06
Atf6b,0.596,5.62,0.04,0.09,0.01,0.04
Gdi2,0.596,1.62,0.18,0.36,0.11,0.36
Tpm3,0.595,1.44,0.23,0.40,0.16,0.37
Hsp90aa1,0.595,1.46,0.40,0.52,0.27,0.44
Lrrc59,0.595,2.78,0.05,0.12,0.02,0.08
Ccdc174,0.595,3.59,0.04,0.12,0.01,0.06
Nop10,0.595,2.13,0.04,0.12,0.02,0.06
Mrpl33,0.595,1.56,0.13,0.33,0.08,0.25
Vamp5,0.595,6.38,0.03,0.09,0.00,0.03
Mgat2,0.595,6.73,0.04,0.09,0.01,0.03
Arf5,0.595,1.43,0.16,0.33,0.11,0.24
Ptpn1,0.595,1.91,0.06,0.15,0.03,0.08
Ssr4,0.594,1.35,0.09,0.20,0.06,0.20
Lama5,0.594,2.14,0.12,0.22,0.06,0.21
Ntm,0.594,2.82,0.07,0.12,0.02,0.04
Edc3,0.594,2.08,0.02,0.09,0.01,0.06
Zfp362,0.594,4.48,0.05,0.09,0.01,0.06
Ube3b,0.594,4.18,0.04,0.10,0.01,0.05
Map1b,0.594,4.50,0.06,0.09,0.01,0.06
Pml,0.594,2.72,0.04,0.10,0.01,0.05
Jak1,0.594,1.87,0.14,0.27,0.08,0.23
Tnk1,0.594,3.70,0.03,0.09,0.01,0.05
Lama3,0.594,5.64,0.05,0.10,0.01,0.04
Tspan1,0.594,3.55,0.06,0.12,0.02,0.03
Luzp1,0.594,1.31,0.10,0.22,0.07,0.24
Dlg1,0.594,1.81,0.20,0.34,0.11,0.31
Rad51b,0.594,1.60,0.21,0.21,0.13,0.18
Strap,0.594,1.67,0.05,0.15,0.03,0.12
Adgrg1,0.594,2.52,0.09,0.16,0.03,0.13
Dpp8,0.594,2.13,0.07,0.20,0.03,0.16
Bsdc1,0.593,1.65,0.06,0.14,0.04,0.11
Edf1,0.593,1.37,0.18,0.31,0.13,0.26
Pdxdc1,0.593,1.94,0.15,0.26,0.08,0.25
Ndufs3,0.593,3.03,0.04,0.10,0.01,0.08
Arnt,0.593,2.21,0.04,0.12,0.02,0.09
Morf4l1,0.593,1.58,0.19,0.35,0.12,0.34
H2-K1,0.592,1.58,0.53,0.57,0.34,0.47
Ppp2r1a,0.592,1.62,0.06,0.20,0.04,0.13
Ube2q2,0.592,1.55,0.06,0.20,0.04,0.14
Pmm1,0.592,4.01,0.06,0.13,0.01,0.04
Plxna2,0.592,2.22,0.06,0.12,0.03,0.05
Trappc4,0.592,3.63,0.04,0.10,0.01,0.06
Timm17a,0.592,4.78,0.05,0.10,0.01,0.07
Cops6,0.592,3.43,0.05,0.12,0.01,0.06
Szrd1,0.592,2.11,0.02,0.10,0.01,0.07
Junos,0.592,9.21,0.06,0.08,0.01,0.03
Cox10,0.592,12.71,0.05,0.09,0.00,0.02
Fxyd5,0.592,9.81,0.03,0.10,0.00,0.01
Aup1,0.592,2.72,0.06,0.13,0.02,0.09
Kdm4a,0.592,2.15,0.05,0.14,0.02,0.08
